,Title,Released_Year,MPrating,Runtime,Genre,AudienceRating,Description,Director,Revenue
0,Avatar: The Way of Water,-2022,UA,192 min,"Action, Adventure, Fantasy",7.7,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",James Cameron,$659.68M
1,Everything Everywhere All at Once,-2022,A,139 min,"Action, Adventure, Comedy",7.9,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Daniel Kwan, ",$72.86M
2,Babylon,(I) (2022),18,189 min,"Comedy, Drama, History",7.2,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.",Damien Chazelle,NOT FOUND
3,The Menu,-2022,A,107 min,"Comedy, Horror, Thriller",7.2,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",Mark Mylod,NOT FOUND
4,The Whale,-2022,A,117 min,Drama,7.7,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.",Darren Aronofsky,NOT FOUND
5,Bullet Train,-2022,A,127 min,"Action, Comedy, Thriller",7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,David Leitch,$103.37M
6,Top Gun: Maverick,-2022,UA,130 min,"Action, Drama",8.3,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",Joseph Kosinski,$718.73M
7,A Man Called Otto,-2022,UA,126 min,"Comedy, Drama",7.4,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around.",Marc Forster,$62.47M
8,Puss in Boots: The Last Wish,-2022,U,102 min,"Animation, Adventure, Comedy",7.9,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Joel Crawford, ",$168.46M
9,X,(II) (2022),R,105 min,"Horror, Mystery, Thriller",6.6,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,NOT FOUND
10,The Banshees of Inisherin,-2022,A,114 min,"Comedy, Drama",7.7,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",Martin McDonagh,NOT FOUND
11,Triangle of Sadness,-2022,A,147 min,"Comedy, Drama",7.4,A fashion model celebrity couple join an eventful cruise for the super-rich.,Ruben Östlund,NOT FOUND
12,Talk to Me,(I) (2022),R,94 min,"Horror, Thriller",7.4,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","Danny Philippou, ",NOT FOUND
13,Ticket to Paradise,-2022,UA,104 min,"Comedy, Romance",6.2,A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,Ol Parker,$68.28M
14,Suzume no tojimari,-2022,PG,122 min,"Animation, Action, Adventure",7.8,A modern action adventure road story where a 17-year-old girl named Suzume helps a mysterious young man close doors from the other side that are releasing disasters all over in Japan.,Makoto Shinkai,NOT FOUND
15,The Unbearable Weight of Massive Talent,-2022,A,107 min,"Action, Comedy, Crime",7,Moviestar Nick Cage is channeling his iconic characters as he's caught between a superfan and a CIA agent.,Tom Gormican,NOT FOUND
16,Terrifier 2,-2022,18,138 min,Horror,6.2,"After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night.",Damien Leone,NOT FOUND
17,Fall,(I) (2022),PG-13,107 min,Thriller,6.4,"Best friends Becky and Hunter find themselves at the top of a 2,000-foot radio tower.",Scott Mann,NOT FOUND
18,The Batman,-2022,UA,176 min,"Action, Crime, Drama",7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,$369.35M
19,Nope,-2022,A,130 min,"Horror, Mystery, Sci-Fi",6.8,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,Jordan Peele,$123.28M
20,Glass Onion,-2022,UA 16+,139 min,"Comedy, Crime, Drama",7.2,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,Rian Johnson,NOT FOUND
21,M3GAN,-2022,A,102 min,"Horror, Sci-Fi, Thriller",6.4,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,Gerard Johnstone,$93.88M
22,Im Westen nichts Neues,-2022,A,148 min,"Action, Drama, War",7.8,A young German soldier's terrifying experiences and distress on the western front during World War I.,Edward Berger,NOT FOUND
23,Black Panther: Wakanda Forever,-2022,UA,161 min,"Action, Adventure, Drama",6.7,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,Ryan Coogler,$453.72M
24,Smile,(V) (2022),A,115 min,"Horror, Mystery, Thriller",6.5,"After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity.",Parker Finn,NOT FOUND
25,Sisu,-2022,R,91 min,"Action, War",7.5,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.",Jalmari Helander,NOT FOUND
26,The Fabelmans,-2022,UA,151 min,Drama,7.6,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",Steven Spielberg,NOT FOUND
27,Scream,(I) (2022),A,114 min,"Horror, Mystery, Thriller",6.3,"25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.","Matt Bettinelli-Olpin, ",$81.64M
28,Aftersun,(II) (2022),R,102 min,Drama,7.7,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...,Charlotte Wells,NOT FOUND
29,Elvis,-2022,UA,159 min,"Biography, Drama, Music",7.3,"The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.",Baz Luhrmann,$151.04M
30,Where the Crawdads Sing,-2022,UA,125 min,"Drama, Mystery, Romance",7.2,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.,Olivia Newman,$90.23M
31,Tár,-2022,A,158 min,"Drama, Music",7.5,"Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and the very first female director of a major German orchestra.",Todd Field,NOT FOUND
32,Jurassic World: Dominion,-2022,UA,147 min,"Action, Adventure, Sci-Fi",5.6,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",Colin Trevorrow,$376.85M
33,Pearl,-2022,R,103 min,"Drama, Horror, Thriller",7,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm.",Ti West,NOT FOUND
34,Don't Worry Darling,(I) (2022),A,123 min,"Drama, Thriller",6.2,A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets.,Olivia Wilde,NOT FOUND
35,What's Love Got to Do with It?,-2022,PG-13,108 min,"Comedy, Romance",6.4,"In London, an award-winning film-maker documents her best friend's journey into an assisted marriage in line with his family's Pakistani heritage. In the process, she challenges her own attitude towards relationships.",Shekhar Kapur,NOT FOUND
36,The Pale Blue Eye,-2022,UA 16+,128 min,"Crime, Horror, Mystery",6.6,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe.",Scott Cooper,NOT FOUND
37,Amsterdam,-2022,UA 16+,134 min,"Comedy, Drama, History",6.1,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.",David O. Russell,NOT FOUND
38,Black Adam,-2022,UA,125 min,"Action, Adventure, Fantasy",6.3,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",Jaume Collet-Serra,$168.15M
39,Bodies Bodies Bodies,-2022,13,94 min,"Comedy, Horror, Thriller",6.2,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.",Halina Reijn,NOT FOUND
40,The Gray Man,-2022,UA 16+,122 min,"Action, Thriller",6.5,"When the CIA's most skilled operative, whose true identity is known to none, accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.","Anthony Russo, ",NOT FOUND
41,RRR (Rise Roar Revolt),-2022,UA,187 min,"Action, Drama",7.8,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,S.S. Rajamouli,$14.50M
42,Barbarian,-2022,A,102 min,"Horror, Mystery, Thriller",7,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,Zach Cregger,NOT FOUND
43,The Northman,-2022,R,137 min,"Action, Adventure, Drama",7.1,A young Viking prince is on a quest to avenge his father's murder.,Robert Eggers,NOT FOUND
44,Thor: Love and Thunder,-2022,UA,118 min,"Action, Adventure, Comedy",6.2,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",Taika Waititi,$343.26M
45,Chevalier,-2022,PG-13,107 min,"Biography, Drama, History",5.6,"Based on the true story of composer Joseph Bologne, Chevalier de Saint-Georges, the illegitimate son of an African slave and a French plantation owner, who rises to heights in French society as a composer before an ill-fated love affair.",Stephen Williams,NOT FOUND
46,The Woman King,-2022,UA,135 min,"Action, Drama, History",6.8,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.",Gina Prince-Bythewood,$67.33M
47,Guillermo del Toro's Pinocchio,-2022,PG,117 min,"Animation, Drama, Family",7.6,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.","Guillermo del Toro, ",NOT FOUND
48,Living,-2022,PG-13,102 min,Drama,7.3,"In 1950s London, a humorless bureaucrat decides to take time off work to experience life after receiving a grim diagnosis.",Oliver Hermanus,NOT FOUND
